ID Number,Celery ,Cereal Containing Gluten,Crustaceans,Eggs,Fish,Lupin,Milk,Molluscs,Mustard,Nuts,Peanuts,Sesame,Soya,Sulfur Dioxide,Cross-Contamination,Presence of Allergen,Incorrect Allergen Labelling,Missing Allergen Labelling,Packaged Incorrectly,Not Labelled in English,No. of food products recalled,Food Manufacturer,Genre of Food,Storage Type,Month of Recall,Date Of Recall,Use by / Best by date,Days to expiry,Past Expiry Date,Food Expire within 7 days,BB/UB
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,Sainsbury,"Condiments, Dressings, Sauces & Spices",Dry,1,06/01/2016,31/10/2017,664,0,0,-
2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Poundland Ltd,Sugar-based Confectionery,Dry,1,08/01/2016,,,,,-
3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,Sainsbury,Ready-to-cook,Chilled,1,21/01/2016,24/01/2016,3,0,1,UB
4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,Bart,"Condiments, Dressings, Sauces & Spices",Dry,1,28/01/2016,31/10/2018,1007,0,0,-
5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,P&B Foods,Cereal & Bakery Products,Dry,2,04/02/2016,,,,,-
6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Chef's Kitchen Limited,Beverages,Dry,2,05/02/2016,,,,,-
7,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,Asco Foods Ltd,Cereal & Bakery Products,Dry,2,05/02/2016,30/09/2016,238,0,0,-
8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Wiper and True,Beverages,Dry,2,05/02/2016,18/05/2016,103,0,0,-
9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,HEMA,Sugar-based Confectionery,Dry,2,11/02/2016,13/08/2016,184,0,0,-
10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,Boulder Brands UK Ltd,Cereal & Bakery Products,Dry,2,16/02/2016,22/02/2016,6,0,1,BB
11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,12,Boulder Brands UK Ltd; Asda; Tesco,Cereal & Bakery Products,Dry,2,17/02/2016,22/02/2016,5,0,1,BB
12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,The Nut House Ltd,Cereal & Bakery Products,Dry,2,19/02/2016,29/05/2016,100,0,0,-
13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,Asda,Cereal & Bakery Products,Dry,2,19/02/2016,22/02/2016,3,0,1,BB
14,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,British & Continental Food Brokers,Cereal & Bakery Products,Dry,2,25/02/2016,27/06/2016,123,0,0,-
15,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,SSP Gold Ltd,Cereal & Bakery Products,Dry,3,03/03/2016,11/02/2017,345,0,0,-
16,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Poundstretcher,Cereal & Bakery Products,Dry,3,04/03/2016,08/08/2017,522,0,0,-
17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,Poundworld Retail Ltd; T. J. Morris (Home Bargains),Cereal & Bakery Products,Dry,3,15/03/2016,08/08/2017,511,0,0,-
18,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,Z.P.H EDMAL,"Condiments, Dressings, Sauces & Spices",Dry,2,11/03/2016,17/05/2016,67,0,0,-
19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,Z.P.H EDMAL,"Condiments, Dressings, Sauces & Spices",Dry,3,18/03/2016,17/05/2016,60,0,0,-
