Manufacturer,Frequency,Total products recalled
3D Trading,2,5
9Nine Brand Foods Ltd,1,1
AB World Foods,2,4
Alamgeer Foods Ltd,1,1
Alana,1,18
Aldi,7,7
Alice Cairns Butchers Limited,1,16
Alternative Foods London Ltd,1,1
Amaizin,1,5
Arthouse Unlimited,1,1
Asco Foods Ltd,2,2
Asda,21,21
Ashbourne Foods Ltd,1,1
ASK Italian,1,1
Aunt Bessie's,1,1
Avoca,1,4
Avondale Foods Ltd,1,1
Azka Impex Limited,1,1
B&M,1,1
Bahlsen,1,1
Bart,1,1
Bayley and Sage,1,1
Bean & Pod Ltd,1,1
Belfield,1,1
Bennett Opie Ltd,1,1
Best Fresh,1,6
Birds Eye,1,1
Biscottilicious Ltd,1,2
BOL Foods,1,1
Boost and Boom,1,6
Booths,10,13
Boots,2,2
Boulder Brands UK Ltd,2,5
Bradbury and Son,2,2
Bramik Foods Ltd,2,4
British & Continental Food Brokers,2,3
Buchanan Distribution Ltd,1,1
C&K Meats,1,2
Café Class,1,10
Cakes by Rebecca Limited,1,9
Candyco,1,4
Castle Confectionery & Scottish Larder,1,13
Caterers Choice Ltd,1,1
Centra,1,1
Cesare Fiorucci SpA,1,2
Chef's Kitchen Limited,1,2
Cherry Tree Home Bakery,1,11
China Court Bakery Ltd,1,10
CL Trading Ltd,1,1
Clayton Park Bakery Ltd,2,11
Clif Bar,1,1
Clives' Pies,1,1
Cloughbane Farm,1,1
CO YO,1,1
Co-Op,15,19
Coca-Cola European Partners,1,1
Cocoa Libre,1,1
Coffee#1,1,1
Cofresh,1,1
Community Foods Ltd,1,1
Confectionery World,1,1
Cook Trading Limited,5,6
Costa Coffee,3,3
Costcutter,1,1
Country Products Ltd,1,1
Country Pudding Ltd,1,1
Craig Foods,1,2
Creme d'Or,1,3
Crosse & Blackwell,1,1
Crunchy Bakery,1,1
Cuisine Solutions Ltd,1,2
Cully & Sully,1,1
D'Haubry Bakery,1,1
Delphi Food Products Ltd,1,4
Direct Food Solution Ltd,1,2
Dorset Cereals,1,7
Dr Oetker,3,3
DSAM Consulting S.A,1,1
Dunnes Stores,2,2
Eat Real,1,7
Edwards of Conwy,1,1
English Cheesecake Company,1,1
English Heritage,1,4
Espresso Warehouse,1,2
Essential Trading,1,1
Everest Cash & Carry Ltd,1,1
Everest Ices,1,4
Evolution Foods,1,3
Fabulous Foods,1,1
Farmhouse Biscuits Ltd,1,1
Fatherson Bakery,1,1
Fazal's,1,19
Fazila Foods Limited,1,2
Fei Foods,1,1
Flames Food,2,14
Flynn's Fine Foods,1,1
Focused Nutrition,1,1
Food For Progress,1,1
Food Innovations UK,1,1
Frank and Honest,1,1
Freshasia Foods,2,2
Frohwein's,1,3
Frozen Value Ltd,1,1
Fry's Family Foods,1,1
Fundamental Supplies Ltd,1,1
FZ Organic Food BV,1,2
Gardiners of Scotland Ltd,2,2
Garth Bakery,1,1
Genesis Crafty,2,2
Genius ,1,1
